GPSC,GPSC__colour
1,#4867aa
2,#8da9ac
3,#8854d2
4,#0094df
5,#9c34b3
6,#57a627
7,#db75f1
8,#8ea91e
9,#4c71e1
10,#dbb532
11,#5d4dae
12,#8cc14b
13,#bc5fd1
14,#3cca7c
15,#bd2c9b
16,#3d9945
17,#e55abe
18,#4cc48c
19,#e52f66
20,#81be6d
21,#9479e8
22,#517820
23,#df7ddc
24,#7e9637
25,#8d439a
26,#b4ba5c
27,#b88ae6
28,#78a173
29,#c39c37
30,#996aba
31,#e18e31
32,#8490db
33,#d86831
34,#3fc6d1
35,#e64f49
36,#68c6a5
37,#da3a83
38,#2c7040
39,#af3a82
40,#5f955c
41,#e96da2
42,#d165ec
43,#31957f
44,#b33321
45,#52a2d8
46,#cb455e
47,#b4b270
48,#d483c9
49,#958031
50,#c4a1e1
51,#65682a
52,#89568c
53,#dc9a6c
54,#9f4762
55,#985f2b
56,#da89ae
57,#ab5445
58,#e28180
59,#008982
60,#f93254
61,#64dd58
62,#8e1ca7
63,#bcd139
64,#2b6bf4
65,#487600
66,#52da5c
67,#ff8df6
68,#2addc5
69,#aa2200
70,#01b1ff
71,#962949
72,#019fbc
73,#ffaaa7
74,#d821a3
75,#994e60
76,#4bc75c
77,#9845c1
78,#8bbe38
79,#4a5cd4
80,#4a9d30
81,#c942b0
82,#6ac27c
83,#d975e2
84,#b5b53a
85,#9576eb
86,#d1a63b
87,#54bd31
88,#4f79db
89,#e08d31
90,#6e4fac
91,#799537
92,#e14ba1
93,#43873b
94,#ed4585
95,#58c8a9
96,#da3a60
97,#3fc6d2
98,#de443f
99,#4aa5d4
100,#e1652a
101,#6c94d6
102,#b34129
103,#24938a
104,#b23d84
105,#48986e
106,#9b4fa6
107,#36723e
108,#b83969
109,#9975ff
110,#b1c100
111,#226a4d
112,#e282be
113,#566621
114,#ba91dd
115,#8b7926
116,#6361a1
117,#b1b26c
118,#ec50cc
119,#8d4a78
120,#7f7c46
121,#ae6b9c
122,#00aa4b
123,#9f5e21
124,#df8ea5
125,#d09967
126,#ad4150
127,#e8866a
128,#9c5b3f
129,#e47382
130,#ff3988
131,#34c7dd
132,#cf3f29
133,#3bce80
134,#9d43c0
135,#4ec957
136,#ce3a9e
137,#66b132
138,#9c72e7
139,#a5ba2e
140,#525dcc
141,#c2ab3a
142,#5a85e8
143,#db9835
144,#8a439f
