Sample_ID,Read_QC,Assembly_QC,Mapping_QC,Taxonomy_QC,Overall_QC,Bases,Contigs#,Assembly_Length,Seq_Depth,Ref_Cov_%,Het-SNP#,S.Pneumo_%,Top_Non-Strep_Genus,Top_Non-Strep_Genus_%,GPSC,Serotype,ST,aroE,gdh,gki,recP,spi,xpt,ddl,pbp1a,pbp2b,pbp2x,AMO_MIC,AMO_Res,CFT_MIC,CFT_Res(Meningital),CFT_Res(Non-meningital),TAX_MIC,TAX_Res(Meningital),TAX_Res(Non-meningital),CFX_MIC,CFX_Res,MER_MIC,MER_Res,PEN_MIC,PEN_Res(Meningital),PEN_Res(Non-meningital),CHL_MIC,CHL_Res,CHL_Determinant,CLI_MIC,CLI_Res,CLI_Determinant,COT_MIC,COT_Res,COT_Determinant,DOX_MIC,DOX_Res,DOX_Determinant,ERY_MIC,ERY_Res,ERY_Determinant,ERY_CLI_Res,ERY_CLI_Determinant,FQ_Res,FQ_Determinant,KAN_Res,KAN_Determinant,LFX_MIC,LFX_Res,LFX_Determinant,RIF_MIC,RIF_Res,RIF_Determinant,SMX_Res,SMX_Determinant,TET_MIC,TET_Res,TET_Determinant,TMP_Res,TMP_Determinant,VAN_MIC,VAN_Res,VAN_Determinant,PILI1,PILI1_Determinant,PILI2,PILI2_Determinant
24861_1#151,PASS,FAIL,FAIL,PASS,FAIL,366595824,111,2304731,159.06,93.38,354,91.46,Methanoculleus,0.02,8,5,289,16,12,9,1,41,33,33,23,0,32,<=0.03,S,0.5,S,S,0.06,S,S,0.5,S,0.06,S,0.06,S,S,2,S,_,0.06,S,_,2,I,_,0.25,S,_,0.06,S,_,S,_,S,_,_,_,2,S,_,<=1,S,_,_,_,<=0.25,S,_,_,_,_,0.5,S,_,_,_,_
24861_1#59,PASS,FAIL,FAIL,PASS,FAIL,487904658,125,2356163,207.07,94.62,545,88.64,Staphylococcus,0,5,19A,1131,7,13,4,6,25,6,8,79,1,219,0.12,S,0.5,S,S,0.12,S,S,0.5,S,<=0.06,S,0.25,R,S,2,S,_,0.06,S,_,0.5,S,_,1,R,_,8,R,_,S,_,S,_,_,_,2,S,_,<=1,S,_,_,_,8,R,_,_,_,_,0.5,S,_,_,_,_
24820_2#128,PASS,PASS,PASS,PASS,PASS,351332916,30,2103441,167.02,94.02,56,90.83,Staphylococcus,0,7,23F,804,15,8,9,2,6,4,26,12,0,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,01-Feb,I,folP_AE007317 INS at 178,>= 1,R,tetM_8_X04388,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 178,>= 4,R,tetM_8_X04388,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#129,PASS,PASS,PASS,PASS,PASS,358274114,43,2073917,172.75,90.86,51,92.81,Staphylococcus,0,6,14,156,7,11,10,1,6,8,1,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_
24820_2#130,PASS,PASS,PASS,PASS,PASS,388590862,34,2073346,187.42,91.31,74,92.73,Staphylococcus,0,8,5,289,16,12,9,1,41,33,33,23,0,32,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,0.06,S,S,<= 4,S,_,<= 0.25,S,_,01-Feb,I,folP_AE007317 INS at 175,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 175,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#131,PASS,PASS,PASS,PASS,PASS,369906956,26,2077123,178.08,91.91,41,90.28,Bacillus,0,7,23A,15176,1,8,9,9,36,4,6,2,0,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,01-Feb,I,folP_AE007317 INS at 187,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 187,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#132,PASS,PASS,PASS,PASS,PASS,363914710,26,2074865,175.39,93.81,30,91.33,Staphylococcus,0,16,09N,66,2,8,2,4,6,1,1,1,0,110,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,0.06,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#133,PASS,PASS,PASS,PASS,PASS,377678474,39,2059956,183.34,91.92,67,93.75,Staphylococcus,0,18,14,15177,1,5,4,5,5,920,8,2,0,64,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,>= 1,R,msrD_3_AF227520,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_
24820_2#134,PASS,PASS,PASS,PASS,PASS,396900006,34,2072830,191.47,91.23,61,92.74,Bacillus,0,18,14,13,1,5,4,5,5,27,8,2,0,50,<= 0.03,S,<= 0.5,S,S,0.12,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_7_28790_1_77 Variant I100L; folP_AE007317 INS at 199,<= 0.25,S,_,>= 1,R,mefA_10_AF376746; msrD_2_AF274302,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 199,<= 1,S,_,R,folA_7_28790_1_77 Variant I100L,<= 1,S,_,NEG,_,NEG,_
24820_2#135,PASS,PASS,PASS,PASS,PASS,340471426,41,2072734,164.26,90.19,50,92.61,Staphylococcus,0,6,14,156,7,11,10,1,6,8,1,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_
