Serotype,Serotype__colour
1,#416800
2,#c36bf5
3,#7bcd36
4,#9020aa
5,#0cc44f
06A,#bd009a
6E(6A),#bd009a
06B,#3c9f00
6E(6B),#3c9f00
6C,#2651d6
6D,#9bb500
7B,#796bf6
7C+,#a6d649
7C,#a6d649
07F,#c753d8
8,#00880d
9A,#d4008e
9L,#00c979
09N,#d1006a
09V,#01d7a7
10A,#ff3a65
10B,#01d9c8
10C,#ca121d
10F,#217dff
11C,#e8b500
11A,#3647b2
11B,#eda400
12B/12F,#0283f5
12F,#0283f5
12B,#0283f5
13,#ff9a17
14,#0156b8
15A,#c5ac00
15A+,#c5ac00
15C,#b98aff
15C+,#b98aff
15B,#b98aff
15B+,#b98aff
15B/15C,#b98aff
15F,#4a8c00
16F,#8f93ff
17A,#aeac00
17F,#7b348b
18A,#79db80
18B,#bf0032
18C,#02c3ab
18F,#d3400c
19A,#43bbff
19B,#e5630a
19F,#a5b4ff
20,#ff8029
21,#00a69e
22A,#a61104
22F,#72db93
23A,#ff81c6
23A+,#ff81c6
23B,#01832a
23B+,#01832a
23B1,#01832a
23F,#ffa2e0
23F+,#ffa2e0
24,#019752
24A,#019752
24B/24F,#019752
24B,#019752
24F,#019752
25F,#ff7642
27,#00807c
28A,#bf7000
28F,#70d8c7
29,#903605
31,#55b5b0
33A,#c28900
33D,#75699c
33B,#75699c
33B/33D,#75699c
33E,#8f8a00
33C,#e4b7f0
33F,#006933
34,#ff897c
35A,#006c55
35B,#ff9267
35C,#2b5d32
35F,#ffa955
36,#7a3c6f
37,#add277
38,#903049
39,#91d4b2
40,#7a452a
41F,#96c89c
42,#ffa297
43,#335d19
45,#ffb77a
46,#5f875b
48,#d89f7f
NT,#525706
Mixed,transparent
Mosaic capsule,transparent
spare1,#d1c969
spare2,#684f0b
spare3,#cfc97e
spare4,#776700
35D,#72a555
6G,#ab62c0
10X,#776700
20A,#ff8029
20B,#cfc97e
12A,#e90c50
25A,#f1b1d6
_,transparent
