ID,Public Name,ERR,ERS,GPSC,GPSC__colour,GPSC_status__autocolour,CC__autocolour,In_Silico_ST__autocolour,MLST_profile_aroE_gdh_gki_recP_spi_xpt_ddl,In_Silico_Serotype,In_Silico_Serotype__colour,Pili,Pili__colour,pbp1a,pbp2b,pbp2x,AMO_MIC,AMO_Res,CFT_MIC,CFT_Res.Meningital.,CFT_Res.Non.meningital.,TAX_MIC,TAX_Res.Meningital.,TAX_Res.Non.meningital.,CFX_MIC,CFX_Res,MER_MIC,MER_Res,PEN_MIC,PEN_Res.Meningital.,PEN_Res.Non.meningital.,CHL_MIC,CHL_Res,CHL_Determinant,CLI_MIC,CLI_Res,CLI_Determinant,COT_MIC,COT_Res,COT_Determinant,DOX_MIC,DOX_Res,DOX_Determinant,ERY_MIC,ERY_Res,ERY_Determinant,ERY_CLI_Res,ERY_CLI_Determinant,FQ_Res,FQ_Determinant,KAN_Res,KAN_Determinant,LFX_MIC,LFX_Res,LFX_Determinant,RIF_MIC,RIF_Res,RIF_Determinant,SMX_Res,SMX_Determinant,TET_MIC,TET_Res,TET_Determinant,TMP_Res,TMP_Determinant,VAN_MIC,VAN_Res,VAN_Determinant,PILI1,PILI1_Determinant,PILI2,PILI2_Determinant,PEN-CHL-ERY-COT-TET,No_of_non_susceptible,MDR,MDR__colour,AMO_Res__colour,CFT_Res.Meningital.__colour,CFT_Res.Non.meningital.__colour,TAX_Res.Meningital.__colour,TAX_Res.Non.meningital.__colour,CFX_Res__colour,MER_Res__colour,PEN_Res.Meningital.__colour,PEN_Res.Non.meningital.__colour,CHL_Res__colour,CLI_Res__colour,COT_Res__colour,DOX_Res__colour,ERY_Res__colour,ERY_CLI_Res__colour,FQ_Res__colour,KAN_Res__colour,LFX_Res__colour,RIF_Res__colour,SMX_Res__colour,TET_Res__colour,TMP_Res__colour,VAN_Res__colour
24820_2#128,GPS_AR_2004,ERR2667509,ERS2552370,7,#db75f1,Dominant,CC439,804,15-8-9-2-6-4-26,23F,#ffa2e0,neg,#4dbc6b,12,0,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,2,I,folP_AE007317 INS at 178,>= 1,R,tetM_8_X04388,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 178,>= 4,R,tetM_8_X04388,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-I-R,2,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#f797b1,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#ff2722,#0069ec,#0069ec
24820_2#129,GPS_AR_2013,ERR2667510,ERS2552371,6,#57a627,Dominant,CC156,156,7-11-10-1-6-8-1,14,#0156b8,1,#ffcf1a,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_,R-S-S-R-S,2,No,#0052e2,#0069ec,#f797b1,#0069ec,#f797b1,#0069ec,#ff2722,#f797b1,#ff2722,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
24820_2#130,GPS_AR_2015,ERR2667511,ERS2552372,8,#8ea91e,Dominant,CC289,289,16-12-9-1-41-33-33,5,#0cc44f,neg,#4dbc6b,23,0,32,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,0.06,S,S,<= 4,S,_,<= 0.25,S,_,2,I,folP_AE007317 INS at 175,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 175,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-I-S,1,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#f797b1,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec
24820_2#131,GPS_AR_2018,ERR2667512,ERS2552373,7,#db75f1,Dominant,CC439,15176,1-8-9-9-36-4-6,23A,#ff81c6,neg,#4dbc6b,2,0,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,2,I,folP_AE007317 INS at 187,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 187,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-I-S,1,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#f797b1,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec
24820_2#132,GPS_AR_2019,ERR2667513,ERS2552374,16,#3d9945,Dominant,CC66,66,2-8-2-4-6-1-1,9N,#d1006a,neg,#4dbc6b,1,0,110,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,0.06,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-S-S,0,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec
24820_2#133,GPS_AR_2020,ERR2667514,ERS2552375,18,#4cc48c,Dominant,CC15,15177,1-5-4-5-5-920-8,14,#0156b8,neg,#4dbc6b,2,0,64,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,>= 1,R,msrD_3_AF227520,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-R-S-S,1,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec
24820_2#134,GPS_AR_2022,ERR2667515,ERS2552376,18,#4cc48c,Dominant,CC15,13,1-5-4-5-5-27-8,14,#0156b8,neg,#4dbc6b,2,0,50,<= 0.03,S,<= 0.5,S,S,0.12,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_7_28790_1_77 Variant I100L; folP_AE007317 INS at 199,<= 0.25,S,_,>= 1,R,mefA_10_AF376746; msrD_2_AF274302,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 199,<= 1,S,_,R,folA_7_28790_1_77 Variant I100L,<= 1,S,_,NEG,_,NEG,_,S-S-R-R-S,2,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
24820_2#135,GPS_AR_2023,ERR2667516,ERS2552377,6,#57a627,Dominant,CC156,156,7-11-10-1-6-8-1,14,#0156b8,1,#ffcf1a,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_,R-S-S-R-S,2,No,#0052e2,#0069ec,#f797b1,#0069ec,#f797b1,#0069ec,#ff2722,#f797b1,#ff2722,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
24820_2#136,GPS_AR_2024,ERR2667517,ERS2552378,820,#07e0ff,Not observed in previous study (Gladstone et al under revision),Singleton,1123,5-25-4-10-15-20-135,6E(6B),#3c9f00,neg,#4dbc6b,23,4,3,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,2,I,folP_AE007317 INS at 199,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 199,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-I-S,1,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#f797b1,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec
24820_2#137,GPS_AR_2036,ERR2667518,ERS2552379,226,#399d82,Rare,Singleton,1475,2-17-107-24-9-105-14,27,#00807c,neg,#4dbc6b,2,0,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,<= 0.5,S,_,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,S,_,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-S-S,0,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec
24820_2#138,GPS_AR_2038,ERR2667519,ERS2552380,821,#930012,Not observed in previous study (Gladstone et al under revision),CC385,15178,7-660-1-2-6-1-14,6E(6A),#bd009a,neg,#4dbc6b,0,10,0,<= 0.03,S,<= 0.5,S,S,<= 0.06,S,S,<= 0.5,S,<= 0.06,S,<= 0.03,S,S,<= 4,S,_,<= 0.25,S,_,2,I,folP_AE007317 INS at 178,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 INS at 178,<= 1,S,_,S,_,<= 1,S,_,NEG,_,NEG,_,S-S-S-I-S,1,No,#0052e2,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#f797b1,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec
24820_2#139,GPS_AR_2040,ERR2667520,ERS2552381,6,#57a627,Dominant,CC156,156,7-11-10-1-6-8-1,14,#0156b8,1,#ffcf1a,45,12,63,2,S,1,I,S,1,I,S,> 2,R,0.5,I,2,R,S,<= 4,S,_,<= 0.25,S,_,>= 4,R,folA_5_21127_2_117 Variant I100L; folP_AE007317 MULTIPLE at 178-180,<= 0.25,S,_,<= 0.25,S,_,S,_,S,_,S,_,<= 2,S,_,<= 1,S,_,R,folP_AE007317 MULTIPLE at 178-180,<= 1,S,_,R,folA_5_21127_2_117 Variant I100L,<= 1,S,_,POS,rrgA_EF560637,NEG,_,R-S-S-R-S,2,No,#0052e2,#0069ec,#f797b1,#0069ec,#f797b1,#0069ec,#ff2722,#f797b1,#ff2722,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#0069ec,#ff2722,#0069ec,#ff2722,#0069ec
